videogames,videogamesLabel,fictionalUniverseLabel,followsLabel,followedByLabel,basedOnLabel
http://www.wikidata.org/entity/Q54862,Star Wars Battlefront,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q55265,Star Wars: Yoda Stories,,,,
http://www.wikidata.org/entity/Q55566,3D Tanx,,,,
http://www.wikidata.org/entity/Q59154,Mafia II,Mafia universe,Mafia,Mafia III,
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game,Star Wars expanded to other media,,Lego Star Wars II: The Original Trilogy,Star Wars: Episode III – Revenge of the Sith
http://www.wikidata.org/entity/Q74539,Star Wars: The Force Unleashed II,Star Wars expanded to other media,Star Wars: The Force Unleashed,,
http://www.wikidata.org/entity/Q55246,Lego Star Wars II Mobile,,,,
http://www.wikidata.org/entity/Q55561,3D Construction Kit,,,,
http://www.wikidata.org/entity/Q55607,Bonanza Bros.,,,,
http://www.wikidata.org/entity/Q57644,Back to Skool,,,,
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,Star Wars expanded to other media,Lego Star Wars: The Video Game,,Star Wars
http://www.wikidata.org/entity/Q74401,Indiana Jones and the Fate of Atlantis,Indiana Jones universe,,,
http://www.wikidata.org/entity/Q55227,Star Wars: Super Bombad Racing,,,,
http://www.wikidata.org/entity/Q55257,Star Wars: Masters of Teräs Käsi,,,,
http://www.wikidata.org/entity/Q55536,10th Frame,,,,
http://www.wikidata.org/entity/Q63266,SimIsle,,,,
http://www.wikidata.org/entity/Q55259,Star Wars: Rebel Assault,Star Wars expanded to other media,,Star Wars: Rebel Assault II: The Hidden Empire,
http://www.wikidata.org/entity/Q55281,Star Wars Galaxies: Episode III Rage of the Wookiees,,,,
http://www.wikidata.org/entity/Q55555,19 Part One: Boot Camp,,,,
http://www.wikidata.org/entity/Q74669,Star Wars Knights of the Old Republic II: The Sith Lords,Star Wars expanded to other media,Star Wars: Knights of the Old Republic,,
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,Star Wars expanded to other media,Lego Star Wars: The Video Game,,Return of the Jedi
http://www.wikidata.org/entity/Q55225,Star Wars: Starfighter,Star Wars expanded to other media,Star Wars: Racer Arcade,Star Wars Battle Pod,
http://www.wikidata.org/entity/Q55291,Star Wars Jedi Knight: Dark Forces II,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q76868,Assassin's Creed III: Liberation,,Assassin's Creed II: Discovery,,
http://www.wikidata.org/entity/Q55239,Lego Star Wars II: The Original Trilogy,Star Wars expanded to other media,Lego Star Wars: The Video Game,,The Empire Strikes Back
http://www.wikidata.org/entity/Q74630,Lego Indiana Jones: The Original Adventures,,,Lego Indiana Jones 2: The Adventure Continues,
http://www.wikidata.org/entity/Q74683,Lego Indiana Jones 2: The Adventure Continues,,Lego Indiana Jones: The Original Adventures,,
http://www.wikidata.org/entity/Q54848,Star Wars: The Clone Wars – Jedi Alliance,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q45028,Halo 4,,Halo 3: ODST,,
http://www.wikidata.org/entity/Q35627,Sonic the Hedgehog 2,,Sonic the Hedgehog,Sonic the Hedgehog 3,
http://www.wikidata.org/entity/Q28362,Cossacks II: Napoleonic Wars,,Cossacks: Back to War,Cossacks II: Battle for Europe,
http://www.wikidata.org/entity/Q54842,Star Wars Episode I: Obi-Wan's Adventures,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q54325,Star Wars: The Empire Strikes Back (1982 video game),Star Wars expanded to other media,,Return of the Jedi: Death Star Battle,The Empire Strikes Back
http://www.wikidata.org/entity/Q54317,Star Wars,Star Wars expanded to other media,,Star Wars: Return of the Jedi (video game),Star Wars
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves,,Uncharted: Drake's Fortune,Uncharted 3: Drake's Deception,
http://www.wikidata.org/entity/Q54851,Clone Wars Adventures,Star Wars universe,,,
http://www.wikidata.org/entity/Q54297,Star Wars: Rogue Squadron,Star Wars expanded to other media,,Star Wars Rogue Squadron II: Rogue Leader,Star Wars
http://www.wikidata.org/entity/Q54329,Star Wars: The Empire Strikes Back (1992 video game),Star Wars expanded to other media,Star Wars,,The Empire Strikes Back
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,,Heroes of Might and Magic IV,Might & Magic Heroes VI,
http://www.wikidata.org/entity/Q54322,Super Star Wars,Star Wars expanded to other media,,Super Star Wars: The Empire Strikes Back,
http://www.wikidata.org/entity/Q54335,Super Star Wars: Return of the Jedi,Star Wars expanded to other media,Super Star Wars: The Empire Strikes Back,,
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception,,Uncharted 2: Among Thieves,Uncharted 4: A Thief's End,
http://www.wikidata.org/entity/Q18951,Half-Life 2: Episode One,Half-Life universe,Half-Life 2,Half-Life 2: Episode Two,
http://www.wikidata.org/entity/Q40627,Sly Cooper and the Thievius Raccoonus,Sly Cooper universe,,Sly 2: Band of Thieves,
http://www.wikidata.org/entity/Q54330,Super Star Wars: The Empire Strikes Back,Star Wars expanded to other media,Super Star Wars,Super Star Wars: Return of the Jedi,
http://www.wikidata.org/entity/Q24071,MotorStorm: Arctic Edge,,MotorStorm: Pacific Rift,MotorStorm: Apocalypse,
http://www.wikidata.org/entity/Q20420,Empire Earth,,,Empire Earth II,
http://www.wikidata.org/entity/Q54304,Star Wars Rogue Squadron III: Rebel Strike,Star Wars expanded to other media,Star Wars Rogue Squadron II: Rogue Leader,,Star Wars
http://www.wikidata.org/entity/Q31560,Forza Motorsport 4,,Forza Motorsport 3,Forza Motorsport 5,
http://www.wikidata.org/entity/Q54846,Star Wars: Episode III – Revenge of the Sith (video game),Star Wars expanded to other media,,,Star Wars: Episode III – Revenge of the Sith
http://www.wikidata.org/entity/Q54322,Super Star Wars,Star Wars expanded to other media,,Super Star Wars: Return of the Jedi,
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage,,Commandos: Behind Enemy Lines,Commandos 3: Destination Berlin,
http://www.wikidata.org/entity/Q54850,Star Wars: The Clone Wars – Republic Heroes,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q23911,Magicland Dizzy,,,,
http://www.wikidata.org/entity/Q24170,Doki! Doki! Yūenchi: Crazy Land Daisakusen,,,,
http://www.wikidata.org/entity/Q28276,Guardians,,,,
http://www.wikidata.org/entity/Q44346,James Pond 2,,,,
http://www.wikidata.org/entity/Q52053,Star Heritage 1: The Black Cobra,,,,
http://www.wikidata.org/entity/Q53362,Bakemonogatari,,,,
http://www.wikidata.org/entity/Q35407,Sonic the Hedgehog 2,,,,
http://www.wikidata.org/entity/Q29715,Superman,,,,Superman
http://www.wikidata.org/entity/Q37115,Sonic the Hedgehog,,,Sonic the Hedgehog 2,
http://www.wikidata.org/entity/Q37123,Sonic the Hedgehog,,,Sonic the Hedgehog 2,
http://www.wikidata.org/entity/Q28258,Restricted Area,,,,
http://www.wikidata.org/entity/Q34869,Age of Empires III,,,,
http://www.wikidata.org/entity/Q54847,Star Wars: The Clone Wars – Lightsaber Duels,Star Wars expanded to other media,,,
http://www.wikidata.org/entity/Q24300,InFamous 2,InFamous universe,InFamous,,
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,,,,
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,,,,
http://www.wikidata.org/entity/Q24076,FinnWars,,,,
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars,,,,
http://www.wikidata.org/entity/Q31685,Spore Hero Arena,,,,
http://www.wikidata.org/entity/Q34852,Age of Empires II,,,,
http://www.wikidata.org/entity/Q40166,Assassin's Creed III,,,,
http://www.wikidata.org/entity/Q44896,Stronghold,,,,
http://www.wikidata.org/entity/Q17150,Uncharted: Drake's Fortune,,,Uncharted 2: Among Thieves,
http://www.wikidata.org/entity/Q12384,Donkey Kong,,,,
http://www.wikidata.org/entity/Q2377,Civilization IV,,,,
http://www.wikidata.org/entity/Q48721,Curiosity – What's Inside the Cube?,,,,
http://www.wikidata.org/entity/Q54839,Star Wars Episode I: Jedi Power Battles,,,,
http://www.wikidata.org/entity/Q52058,The Neverhood,,,Skullmonkeys,
http://www.wikidata.org/entity/Q54323,Star Wars Arcade,Star Wars expanded to other media,,Star Wars Trilogy Arcade,
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Grand Theft Auto HD universe,Grand Theft Auto IV,,
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,,,,
http://www.wikidata.org/entity/Q5766,VVVVVV,,,,
http://www.wikidata.org/entity/Q8529,100 Bullets,,,,
http://www.wikidata.org/entity/Q13165,Death to Spies,,,,
http://www.wikidata.org/entity/Q13699,Stronghold: Crusader Extreme,,,,
http://www.wikidata.org/entity/Q17724,Spectromancer,,,,
http://www.wikidata.org/entity/Q31332,Wind: A Breath of Heart,,,,
http://www.wikidata.org/entity/Q34920,Age of Empires Online,,,,
http://www.wikidata.org/entity/Q50035,Nyaruko: Crawling with Love,,,,
http://www.wikidata.org/entity/Q54332,Star Wars: Return of the Jedi: Ewok Adventure,,,,
http://www.wikidata.org/entity/Q54844,Star Wars: Episode II – Attack of the Clones (video game),,,,
http://www.wikidata.org/entity/Q54845,Star Wars: The New Droid Army,,,,
http://www.wikidata.org/entity/Q54331,Return of the Jedi: Death Star Battle,Star Wars expanded to other media,Star Wars: The Empire Strikes Back (1982 video game),Star Wars: Jedi Arena,Return of the Jedi
http://www.wikidata.org/entity/Q19433,"Grand Theft Auto: London, 1961",Grand Theft Auto 2D universe,,,
http://www.wikidata.org/entity/Q19419,Rappelz,,,,
http://www.wikidata.org/entity/Q23992,Gunvalkyrie,,,,
http://www.wikidata.org/entity/Q54854,Angry Birds Star Wars,,,,
http://www.wikidata.org/entity/Q54327,Star Wars: The Empire Strikes Back (1985 video game),Star Wars expanded to other media,Star Wars: Return of the Jedi (video game),,The Empire Strikes Back
http://www.wikidata.org/entity/Q26097,XCOM: Enemy Unknown,,,XCOM 2,UFO: Enemy Unknown
http://www.wikidata.org/entity/Q40177,Sonic & Knuckles,,Sonic the Hedgehog 3,,
http://www.wikidata.org/entity/Q54307,Star Wars Rogue Squadron II: Rogue Leader,Star Wars expanded to other media,Star Wars: Rogue Squadron,Star Wars Rogue Squadron III: Rebel Strike,Star Wars
http://www.wikidata.org/entity/Q54319,Star Wars,Star Wars expanded to other media,,,
