videogames,videogamesLabel,gameModeLabel
http://www.wikidata.org/entity/Q2377,Civilization IV,multiplayer online game
http://www.wikidata.org/entity/Q19419,Rappelz,multiplayer video game
http://www.wikidata.org/entity/Q31560,Forza Motorsport 4,multiplayer video game
http://www.wikidata.org/entity/Q2377,Civilization IV,single-player video game
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage,single-player video game
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,multiplayer video game
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,multiplayer video game
http://www.wikidata.org/entity/Q27107,DC Universe Online,multiplayer video game
http://www.wikidata.org/entity/Q2377,Civilization IV,cooperative gameplay
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage,cooperative gameplay
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent,single-player video game
http://www.wikidata.org/entity/Q23992,Gunvalkyrie,single-player video game
http://www.wikidata.org/entity/Q31560,Forza Motorsport 4,single-player video game
http://www.wikidata.org/entity/Q40627,Sly Cooper and the Thievius Raccoonus,single-player video game
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron,single-player video game
http://www.wikidata.org/entity/Q55217,Star Wars Episode I: Racer,single-player video game
http://www.wikidata.org/entity/Q55223,Star Wars: Racer Arcade,single-player video game
http://www.wikidata.org/entity/Q55265,Star Wars: Yoda Stories,single-player video game
http://www.wikidata.org/entity/Q55298,Star Wars Jedi Knight II: Jedi Outcast,single-player video game
http://www.wikidata.org/entity/Q55315,Star Wars: Empire at War,single-player video game
http://www.wikidata.org/entity/Q55566,3D Tanx,single-player video game
http://www.wikidata.org/entity/Q55605,Boulder Dash,single-player video game
http://www.wikidata.org/entity/Q57270,BioShock,single-player video game
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron,single-player video game
http://www.wikidata.org/entity/Q55227,Star Wars: Super Bombad Racing,single-player video game
http://www.wikidata.org/entity/Q55254,Star Wars: Force Commander,single-player video game
http://www.wikidata.org/entity/Q55257,Star Wars: Masters of Teräs Käsi,single-player video game
http://www.wikidata.org/entity/Q55536,10th Frame,single-player video game
http://www.wikidata.org/entity/Q55622,Bionic Commando,single-player video game
http://www.wikidata.org/entity/Q55620,Bionic Commando,single-player video game
http://www.wikidata.org/entity/Q55610,Athena,single-player video game
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,multiplayer video game
http://www.wikidata.org/entity/Q55232,Star Wars: The Clone Wars (2002 video game),multiplayer video game
http://www.wikidata.org/entity/Q55295,Star Wars Jedi Knight: Jedi Academy,multiplayer video game
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,single-player video game
http://www.wikidata.org/entity/Q55232,Star Wars: The Clone Wars (2002 video game),single-player video game
http://www.wikidata.org/entity/Q55535,1943: The Battle of Midway,single-player video game
http://www.wikidata.org/entity/Q55538,007: Licence to Kill,single-player video game
http://www.wikidata.org/entity/Q55668,Nether Earth,single-player video game
http://www.wikidata.org/entity/Q56879,Syobon Action,single-player video game
http://www.wikidata.org/entity/Q57639,Avalon The 3D Adventure Movie,single-player video game
http://www.wikidata.org/entity/Q57622,All or Nothing,single-player video game
http://www.wikidata.org/entity/Q55675,The Trap Door,single-player video game
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga,cooperative gameplay
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II (2005 video game),multiplayer video game
http://www.wikidata.org/entity/Q55225,Star Wars: Starfighter,multiplayer video game
http://www.wikidata.org/entity/Q55532,1942,single-player video game
http://www.wikidata.org/entity/Q55228,Lego Star Wars III: The Clone Wars,multiplayer video game
http://www.wikidata.org/entity/Q55272,Star Wars Galaxies,multiplayer video game
http://www.wikidata.org/entity/Q55281,Star Wars Galaxies: Episode III Rage of the Wookiees,multiplayer video game
http://www.wikidata.org/entity/Q55314,Star Wars: X-Wing vs. TIE Fighter,multiplayer video game
http://www.wikidata.org/entity/Q55263,Star Wars: Shadows of the Empire (video game),single-player video game
http://www.wikidata.org/entity/Q55295,Star Wars Jedi Knight: Jedi Academy,single-player video game
http://www.wikidata.org/entity/Q55562,3D Deathchase,single-player video game
http://www.wikidata.org/entity/Q55587,3D Tunnel,single-player video game
http://www.wikidata.org/entity/Q55611,Army Moves,single-player video game
http://www.wikidata.org/entity/Q55608,Atic Atac,single-player video game
http://www.wikidata.org/entity/Q56939,Mega Man X: Command Mission,single-player video game
http://www.wikidata.org/entity/Q54862,Star Wars Battlefront,multiplayer video game
http://www.wikidata.org/entity/Q55313,Star Wars: X-Wing Alliance,multiplayer video game
http://www.wikidata.org/entity/Q55537,180,multiplayer video game
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II (2005 video game),single-player video game
