videogames,videogamesLabel,developerLabel,publisherLabel,designedByLabel,composerLabel
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Take-Two Interactive,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Softclub,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Rockstar Games,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Take-Two Interactive,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Softclub,,The Alchemist
http://www.wikidata.org/entity/Q17724,Spectromancer,Apus Software,Apus Software,Richard Garfield,
http://www.wikidata.org/entity/Q17724,Spectromancer,Apus Software,Apus Software,Skaff Elias,
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Valve Corporation,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Valve Corporation,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Valve Corporation,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Valve Corporation,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Activision Publishing,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,Activision Publishing,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,Activision Publishing,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,Activision Publishing,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,id Software,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Interplay Entertainment,id Software,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Nerve Software,id Software,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,Raven Software,id Software,John Romero,Robert Prince
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D,id Software,Atari,John Romero,Robert Prince
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Atari,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Atari,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Atari,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Aspyr,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Aspyr,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Aspyr,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Infogrames,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Infogrames,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Infogrames,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,MacSoft Games,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,MacSoft Games,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,MacSoft Games,Jeff Briggs,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Atari,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Atari,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Atari,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Aspyr,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Aspyr,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Aspyr,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,Infogrames,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,Infogrames,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,Infogrames,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Aspyr,MacSoft Games,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,Firaxis Games,MacSoft Games,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2374,Civilization III,MacSoft Games,MacSoft Games,Soren Johnson,Roger Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,1C Company,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,1C Company,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,2K Games,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,2K Games,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,Aspyr,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,Aspyr,Sid Meier,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,1C Company,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,1C Company,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,2K Games,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,2K Games,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Firaxis Games,Aspyr,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2377,Civilization IV,Soren Johnson,Aspyr,Soren Johnson,Jeff Briggs
http://www.wikidata.org/entity/Q2385,Civilization V,Firaxis Games,2K Games,Jon Shafer,Geoff Knorr
http://www.wikidata.org/entity/Q2385,Civilization V,Firaxis Games,Aspyr,Jon Shafer,Geoff Knorr
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage,Pyro Studios,Eidos Interactive,,
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich,Irrational Games,Electronic Arts,,
http://www.wikidata.org/entity/Q2450,Heroes of Might and Magic V,Nival Interactive,Ubisoft,,Rob King
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift,Slightly Mad Studios,Electronic Arts,,Stephen Baysted
http://www.wikidata.org/entity/Q5766,VVVVVV,Terry Cavanagh,Nicalis,Terry Cavanagh,Magnus Pålsson
http://www.wikidata.org/entity/Q5766,VVVVVV,Terry Cavanagh,Terry Cavanagh,Terry Cavanagh,Magnus Pålsson
http://www.wikidata.org/entity/Q8529,100 Bullets,Acclaim Studios Austin,Acclaim Entertainment,,
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,Nintendo Entertainment Analysis & Development,Nintendo,Shigeru Miyamoto,Koji Kondo
http://www.wikidata.org/entity/Q11168,Super Mario Bros.,Nintendo Entertainment Analysis & Development,Nintendo,Takashi Tezuka,Koji Kondo
http://www.wikidata.org/entity/Q12384,Donkey Kong,Nintendo,Nintendo,,
http://www.wikidata.org/entity/Q12395,The Legend of Zelda,Nintendo Entertainment Analysis & Development,Nintendo,,Koji Kondo
http://www.wikidata.org/entity/Q13165,Death to Spies,,1C Company,,
http://www.wikidata.org/entity/Q13165,Death to Spies,,Atari,,
http://www.wikidata.org/entity/Q13699,Stronghold: Crusader Extreme,Firefly Studios,Gamecock Media Group,,
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception,Naughty Dog,Sony Interactive Entertainment,,Greg Edmonson
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves,Naughty Dog,Sony Interactive Entertainment,Neil Druckmann,Greg Edmonson
http://www.wikidata.org/entity/Q17150,Uncharted: Drake's Fortune,Naughty Dog,Sony Interactive Entertainment,,Greg Edmonson
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Rockstar Games,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Take-Two Interactive,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Toronto,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar London,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,NaturalMotion,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar India,Softclub,,Tangerine Dream
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar North,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Games,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar San Diego,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar New England,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Leeds,Rockstar Games,,Oh No
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V,Rockstar Lincoln,Rockstar Games,,Oh No
